,Station Name,Station Latitude,Station Longitude,Business Category,Business Name,Rating,Number of Reviews,Address,Contact
80,SE 37th at Gladstone,45.49333654,-122.6233971,American,Gladstone Street Pub - The Stone,4.0,105,3737 SE Gladstone St,(503) 775-3502
81,SE 37th at Gladstone,45.49333654,-122.6233971,Pizza,Gladstone Street Pizza,4.0,230,3813 SE Gladstone St,(503) 775-1537
82,SE 37th at Gladstone,45.49333654,-122.6233971,Breakfast & Brunch,Cafe Rowan,4.5,231,4437 SE Cesar E Chavez Blvd,(503) 841-5072
83,SE 37th at Gladstone,45.49333654,-122.6233971,Ramen,Hapa PDX,4.0,105,3848 SE Gladstone St,(503) 376-9246
84,SE 37th at Gladstone,45.49333654,-122.6233971,Pizza,Saint Pizza Lounge,4.5,42,3813 SE Gladstone St,(503) 775-1537
85,SE 37th at Gladstone,45.49333654,-122.6233971,Breweries,Hopworks Brewery,4.0,1201,2944 SE Powell Blvd,(503) 232-4677
86,SE 37th at Gladstone,45.49333654,-122.6233971,Coffee & Tea,Keeper Coffee,5.0,115,4515 SE 41st,(503) 891-5828
87,SE 37th at Gladstone,45.49333654,-122.6233971,Desserts,Premium Matcha Cafe Maiko,4.5,261,3416 SE Cesar Estrada Chavez Blvd,(971) 279-4637
88,SE 37th at Gladstone,45.49333654,-122.6233971,Breakfast & Brunch,C Bar,4.0,361,2886 SE Gladstone St,(503) 954-2516
89,SE 37th at Gladstone,45.49333654,-122.6233971,Japanese,Yoko's Japanese Restaurant,4.0,404,2878 SE Gladstone St,(503) 736-9228
90,SE 37th at Gladstone,45.49333654,-122.6233971,Italian,DeNicola's Restaurant,3.5,396,3520 SE Powell Blvd,(503) 239-5220
91,SE 37th at Gladstone,45.49333654,-122.6233971,Coffee & Tea,Coffee Beer,4.0,63,4142 SE 42nd Ave,(503) 946-8029
92,SE 37th at Gladstone,45.49333654,-122.6233971,Vietnamese,Pho Hung - Portland,4.0,655,4717 SE Powell Blvd,(503) 775-3170
93,SE 37th at Gladstone,45.49333654,-122.6233971,Southern,Matt & Memere's,4.5,57,3582 SE Powell Blvd,(971) 267-7554
94,SE 37th at Gladstone,45.49333654,-122.6233971,Pubs,13th Moon Gravity Well,4.5,15,4513 SE 41st Ave,(971) 267-7554
95,SE 37th at Gladstone,45.49333654,-122.6233971,Food Trucks,808 Grinds - Food Cart,4.5,138,5226 SE 26th Ave,(503) 941-6637
96,SE 37th at Gladstone,45.49333654,-122.6233971,Burgers,Super Deluxe,3.5,579,5009 SE Powell Blvd,(503) 941-6637
97,SE 37th at Gladstone,45.49333654,-122.6233971,Food Trucks,Noah Halal - Gyros & Shwarma,4.5,53,3582 SE Powell Blvd,(503) 619-5756
98,SE 37th at Gladstone,45.49333654,-122.6233971,Food Trucks,Super Bowl PDX,4.0,16,3582 SE Powell Blvd,(503) 880-3913
99,SE 37th at Gladstone,45.49333654,-122.6233971,Donuts,Sesame Donuts,4.5,24,4102 SE Powell Blvd,(503) 880-3913
100,SE Gideon at 12th Ave MAX station,45.50280906,-122.6535398,Pizza,Virtuous Pie,4.5,414,1126 SE Division St,(503) 334-2073
101,SE Gideon at 12th Ave MAX station,45.50280906,-122.6535398,Breakfast & Brunch,Pine State Biscuits,4.5,1325,1100 SE Division St,(503) 236-3346
102,SE Gideon at 12th Ave MAX station,45.50280906,-122.6535398,Cocktail Bars,Jacqueline,4.5,402,2039 SE Clinton St,(503) 327-8637
103,SE Gideon at 12th Ave MAX station,45.50280906,-122.6535398,Sandwiches,Double Dragon,4.0,493,1235 SE Division St,(503) 230-8340
104,SE Gideon at 12th Ave MAX station,45.50280906,-122.6535398,Barbeque,Botto's BBQ,4.5,201,3120 SE Milwaukie Ave,(503) 206-6936
105,SE Gideon at 12th Ave MAX station,45.50280906,-122.6535398,New American,Quaintrelle,4.5,219,2032 SE Clinton St,(503) 200-5787
106,SE Gideon at 12th Ave MAX station,45.50280906,-122.6535398,Cocktail Bars,Palomar,4.0,231,959 SE Division St,(971) 357-8020
107,SE Gideon at 12th Ave MAX station,45.50280906,-122.6535398,Thai,The Chomp,4.5,39,3200 SE Milwaukie Ave,(503) 922-7292
108,SE Gideon at 12th Ave MAX station,45.50280906,-122.6535398,African,Akadi PDX,4.5,280,1001 SE Division,(503) 477-7138
109,SE Gideon at 12th Ave MAX station,45.50280906,-122.6535398,Sandwiches,The Baker's Mark,4.5,283,1126 SE Division St,(503) 477-7138
110,SE Gideon at 12th Ave MAX station,45.50280906,-122.6535398,Mexican,Nuestra Cocina,4.5,627,2135 SE Division St,(503) 232-2135
111,SE Gideon at 12th Ave MAX station,45.50280906,-122.6535398,New American,Genie's Cafe,4.0,537,1101 SE Division St,(503) 954-1122
112,SE Gideon at 12th Ave MAX station,45.50280906,-122.6535398,Sushi Bars,Yama Sushi & Izakaya,4.0,524,2038 SE Clinton St,(503) 231-2859
113,SE Gideon at 12th Ave MAX station,45.50280906,-122.6535398,Mexican,Taqueria Los Gorditos,3.5,483,1212 SE Division St,(503) 445-6289
114,SE Gideon at 12th Ave MAX station,45.50280906,-122.6535398,New American,Plumb,5.0,23,2133 SE 11th Ave,(503) 875-0527
115,SE Gideon at 12th Ave MAX station,45.50280906,-122.6535398,Diners,Original Hotcake House,3.5,612,1002 SE Powell Blvd,(503) 236-7402
116,SE Gideon at 12th Ave MAX station,45.50280906,-122.6535398,Delis,Edelweiss Sausage Co & Delicatessen,4.0,305,3119 SE 12th Ave,(503) 238-4411
117,SE Gideon at 12th Ave MAX station,45.50280906,-122.6535398,"Beer, Wine & Spirits",The Beermongers,4.5,239,2415 SE 11th Ave,(503) 234-6012
118,SE Gideon at 12th Ave MAX station,45.50280906,-122.6535398,Bakeries,Shoofly Vegan Bakery,4.5,51,2505 SE 11th Ave,(971) 229-0188
119,SE Gideon at 12th Ave MAX station,45.50280906,-122.6535398,Bars,Apex Bar,3.5,415,1216 SE Division St,(503) 273-9227
120,SW 10th at Harvey Milk,45.52175423,-122.6810794,Italian,Grassa,4.0,2062,1205 SW Washington St,(503) 241-1133
121,SW 10th at Harvey Milk,45.52175423,-122.6810794,Mediterranean,Lil' Shalom,4.5,563,1128 SW Alder St,(503) 333-6123
122,SW 10th at Harvey Milk,45.52175423,-122.6810794,Southern,Screen Door Pearl District,4.5,773,1131 NW Couch St,(503) 542-0882
123,SW 10th at Harvey Milk,45.52175423,-122.6810794,Breakfast & Brunch,Cheryl’s on 12th,4.5,2597,1135 SW Washington St,(503) 595-2252
124,SW 10th at Harvey Milk,45.52175423,-122.6810794,Bars,Bullard Tavern,4.5,241,813 SW Alder St,(503) 222-1670
125,SW 10th at Harvey Milk,45.52175423,-122.6810794,Steakhouses,El Gaucho,4.0,751,319 SW Broadway,(503) 227-8794
126,SW 10th at Harvey Milk,45.52175423,-122.6810794,Seafood,Jake's Famous Crawfish,4.0,1878,401 SW 12th Ave,(503) 226-1419
127,SW 10th at Harvey Milk,45.52175423,-122.6810794,Tapas Bars,Lechon,4.5,1888,113 SW Naito Pkwy,(503) 219-9000
128,SW 10th at Harvey Milk,45.52175423,-122.6810794,Thai,Thai Peacock,4.0,1140,219 SW 9th Ave,(503) 228-2310
129,SW 10th at Harvey Milk,45.52175423,-122.6810794,Thai,Farmhouse Kitchen Thai Cuisine,4.0,558,121 NW 9th Ave,(971) 754-4966
130,SW 10th at Harvey Milk,45.52175423,-122.6810794,Italian,Mucca Osteria,4.5,585,1022 SW Morrison St,(503) 227-5521
131,SW 10th at Harvey Milk,45.52175423,-122.6810794,Brewpubs,Deschutes Brewery Portland Public House,4.0,3516,210 NW 11th Ave,(503) 296-4906
132,SW 10th at Harvey Milk,45.52175423,-122.6810794,Sushi Bars,Bamboo Sushi,4.0,735,404 SW 12th Ave,(503) 444-7455
133,SW 10th at Harvey Milk,45.52175423,-122.6810794,Italian,Il Solito,4.0,197,627 SW Washington St,(503) 228-1515
134,SW 10th at Harvey Milk,45.52175423,-122.6810794,Korean,Toki,4.0,295,580 SW 12th Ave,(503) 312-3037
135,SW 10th at Harvey Milk,45.52175423,-122.6810794,Mediterranean,Mediterranean Exploration Company,4.5,971,333 NW 13th Ave,(503) 222-0906
136,SW 10th at Harvey Milk,45.52175423,-122.6810794,Wine Bars,Andina,4.5,3267,1314 NW Glisan St,(503) 228-9535
137,SW 10th at Harvey Milk,45.52175423,-122.6810794,Vietnamese,Luc Lac,4.0,4200,835 SW 2nd Ave,(503) 222-0047
138,SW 10th at Harvey Milk,45.52175423,-122.6810794,Sandwiches,Lardo,4.0,1241,1205 SW Washington St,(503) 241-2490
139,SW 10th at Harvey Milk,45.52175423,-122.6810794,Breakfast & Brunch,Mother’s Bistro & Bar,4.5,5017,121 SW 3rd Ave,(503) 464-1122
140,SE Elliott at Division,45.50512504,-122.6533681,Pizza,Virtuous Pie,4.5,414,1126 SE Division St,(503) 334-2073
141,SE Elliott at Division,45.50512504,-122.6533681,Sandwiches,Double Dragon,4.0,493,1235 SE Division St,(503) 230-8340
142,SE Elliott at Division,45.50512504,-122.6533681,Breakfast & Brunch,Pine State Biscuits,4.5,1325,1100 SE Division St,(503) 236-3346
143,SE Elliott at Division,45.50512504,-122.6533681,Cocktail Bars,Jacqueline,4.5,402,2039 SE Clinton St,(503) 327-8637
144,SE Elliott at Division,45.50512504,-122.6533681,Cocktail Bars,Palomar,4.0,231,959 SE Division St,(971) 357-8020
145,SE Elliott at Division,45.50512504,-122.6533681,New American,Plumb,5.0,23,2133 SE 11th Ave,(503) 875-0527
146,SE Elliott at Division,45.50512504,-122.6533681,New American,Quaintrelle,4.5,219,2032 SE Clinton St,(503) 200-5787
147,SE Elliott at Division,45.50512504,-122.6533681,African,Akadi PDX,4.5,280,1001 SE Division,(503) 477-7138
148,SE Elliott at Division,45.50512504,-122.6533681,Mexican,Taqueria Los Gorditos,3.5,483,1212 SE Division St,(503) 445-6289
149,SE Elliott at Division,45.50512504,-122.6533681,New American,Genie's Cafe,4.0,537,1101 SE Division St,(503) 954-1122
150,SE Elliott at Division,45.50512504,-122.6533681,Mediterranean,Nicholas Restaurant,4.0,1377,1109 SE Madison St,(503) 235-5123
151,SE Elliott at Division,45.50512504,-122.6533681,Sandwiches,The Baker's Mark,4.5,283,1126 SE Division St,(503) 235-5123
152,SE Elliott at Division,45.50512504,-122.6533681,Bars,Apex Bar,3.5,415,1216 SE Division St,(503) 273-9227
153,SE Elliott at Division,45.50512504,-122.6533681,Mexican,Nuestra Cocina,4.5,627,2135 SE Division St,(503) 232-2135
154,SE Elliott at Division,45.50512504,-122.6533681,Cocktail Bars,Deadshot,4.5,87,2133 SE 11th Ave,(503) 875-0527
155,SE Elliott at Division,45.50512504,-122.6533681,"Beer, Wine & Spirits",The Beermongers,4.5,239,2415 SE 11th Ave,(503) 234-6012
156,SE Elliott at Division,45.50512504,-122.6533681,Pizza,Ranch Pizza Southeast ,4.5,52,2239 SE 11th Ave,(503) 265-8118
157,SE Elliott at Division,45.50512504,-122.6533681,Beer Bar,Chuckanut Brewery - P.Nut Beerhall,4.5,14,920 SE Caruthers St,(360) 752-3377
158,SE Elliott at Division,45.50512504,-122.6533681,Sandwiches,Lardo,4.0,1368,1212 SE Hawthorne St,(503) 234-7786
159,SE Elliott at Division,45.50512504,-122.6533681,Sushi Bars,Yama Sushi & Izakaya,4.0,524,2038 SE Clinton St,(503) 231-2859
160,SE Clinton at 26th,45.50356665,-122.6395279,Filipino,Magna Kusina,4.5,210,2525 SE Clinton St,(503) 395-8542
161,SE Clinton at 26th,45.50356665,-122.6395279,Cocktail Bars,Jacqueline,4.5,402,2039 SE Clinton St,(503) 327-8637
162,SE Clinton at 26th,45.50356665,-122.6395279,New American,Quaintrelle,4.5,219,2032 SE Clinton St,(503) 200-5787
163,SE Clinton at 26th,45.50356665,-122.6395279,Scandinavian,Broder Café,4.5,1373,2508 SE Clinton St,(503) 736-3333
164,SE Clinton at 26th,45.50356665,-122.6395279,Italian,Casa Italia On Division,4.5,428,3035 SE Division St,(971) 279-5684
165,SE Clinton at 26th,45.50356665,-122.6395279,Cocktail Bars,Libre,5.0,5,2601 SE Clinton St,(971) 279-5684
166,SE Clinton at 26th,45.50356665,-122.6395279,Dive Bars,Dots Cafe,4.0,434,2521 SE Clinton St,(503) 235-0203
167,SE Clinton at 26th,45.50356665,-122.6395279,Mexican,Nuestra Cocina,4.5,627,2135 SE Division St,(503) 232-2135
168,SE Clinton at 26th,45.50356665,-122.6395279,Thai,Kati Portland,4.5,448,2932 SE Division St,(503) 477-6059
169,SE Clinton at 26th,45.50356665,-122.6395279,American,Reel M Inn,4.0,416,2430 SE Division St,(503) 231-3880
170,SE Clinton at 26th,45.50356665,-122.6395279,Latin American,Mestizo,4.5,176,2910 SE Division St,(503) 384-2273
171,SE Clinton at 26th,45.50356665,-122.6395279,Sushi Bars,Kashiwagi,4.5,105,2425 SE 26th Ave,(503) 233-3946
172,SE Clinton at 26th,45.50356665,-122.6395279,Sushi Bars,Yama Sushi & Izakaya,4.0,524,2038 SE Clinton St,(503) 231-2859
173,SE Clinton at 26th,45.50356665,-122.6395279,Burgers,PDX Sliders,4.5,500,3111 SE Division St,(503) 719-5464
174,SE Clinton at 26th,45.50356665,-122.6395279,Thai,Farmhouse Kitchen Thai Cuisine,4.5,880,3354 SE Hawthorne Blvd,(503) 432-8115
175,SE Clinton at 26th,45.50356665,-122.6395279,New American,Ava Gene's,4.0,753,3377 SE Division St,(971) 229-0571
176,SE Clinton at 26th,45.50356665,-122.6395279,Indian,Bollywood Theater,4.0,781,3010 SE Division St,(503) 477-6699
177,SE Clinton at 26th,45.50356665,-122.6395279,Pizza,Scottie's Pizza Parlor SE,4.5,389,2128 SE Division St,(971) 544-7878
178,SE Clinton at 26th,45.50356665,-122.6395279,Lounges,Lucky Horseshoe Lounge,4.5,41,2524 SE Clinton St,(503) 764-9898
179,SE Clinton at 26th,45.50356665,-122.6395279,Hookah Bars,007 Hookah Lounge,4.5,28,2524 SE Division St,(503) 933-0764
180,SE 29th at Belmont,45.51623176,-122.6360679,Greek,Bluto's,4.0,161,2838 SE Belmont St,(503) 933-0764
181,SE 29th at Belmont,45.51623176,-122.6360679,Thai,Rukdiew Cafe,4.5,139,2534 SE Belmont St,(503) 841-6123
182,SE 29th at Belmont,45.51623176,-122.6360679,Pizza,Ken's Artisan Pizza,4.5,937,304 SE 28th Ave,(503) 517-9951
183,SE 29th at Belmont,45.51623176,-122.6360679,Bars,Bare Bones Cafe & Bar,4.0,246,2908 SE Belmont St,(503) 719-7128
184,SE 29th at Belmont,45.51623176,-122.6360679,Southern,Screen Door Eastside,4.5,8477,2337 E Burnside St,(503) 542-0880
185,SE 29th at Belmont,45.51623176,-122.6360679,Thai,Farmhouse Kitchen Thai Cuisine,4.5,880,3354 SE Hawthorne Blvd,(503) 432-8115
186,SE 29th at Belmont,45.51623176,-122.6360679,Pizza,Baby Doll Pizza,4.5,538,2835 SE Stark St,(503) 459-4450
187,SE 29th at Belmont,45.51623176,-122.6360679,Sri Lankan,Mirisata,4.5,174,2420 SE Belmont St,(503) 233-4675
188,SE 29th at Belmont,45.51623176,-122.6360679,Cuban,CUBO de cuba,4.0,544,3106 SE Hawthorne Blvd,(971) 544-7801
189,SE 29th at Belmont,45.51623176,-122.6360679,Thai,Khao Moo Dang,4.5,327,3145 SE Hawthorne Blvd,(503) 206-6838
190,SE 29th at Belmont,45.51623176,-122.6360679,Thai,Mai Thai Portland ,3.5,227,3104 SE Belmont St,(503) 232-9844
191,SE 29th at Belmont,45.51623176,-122.6360679,Sushi Bars,Bamboo Sushi,4.0,1135,310 SE 28th Ave,(503) 232-5255
192,SE 29th at Belmont,45.51623176,-122.6360679,Steakhouses,Laurelhurst Market,4.0,1322,3155 E Burnside St,(503) 206-3097
193,SE 29th at Belmont,45.51623176,-122.6360679,Bars,Rendez Vous off Belmont,5.0,75,817 SE 34th Ave,(503) 206-4016
194,SE 29th at Belmont,45.51623176,-122.6360679,American,Ankeny Tap & Table,4.5,203,2724 SE Ankeny St,(971) 345-4555
195,SE 29th at Belmont,45.51623176,-122.6360679,Italian,3 Doors Down Cafe & Lounge,4.5,415,1429 SE 37th Ave,(503) 236-6886
196,SE 29th at Belmont,45.51623176,-122.6360679,Middle Eastern,Tusk,4.0,570,2448 East Burnside St,(503) 894-8082
197,SE 29th at Belmont,45.51623176,-122.6360679,Mexican,Güero,4.5,688,200 NE 28th Ave,(503) 887-9258
